State_Name,donald trump,trump news,twitter trump,president trump,melania trump,trump today,twitter donald trump,biden,trump biden,clinton,ivanka trump,trump election,polls,trump polls,hillary,obama,trump 2020,trump tweets,trump rally,cnn trump,trump news today,trump fox news,trump speech,donald trump news,trump approval
Alabama,60,41,38,78,59,43,42,47,68,23,38,59,55,52,43,40,79,33,48,41,35,71,42,55,34
Alaska,55,71,41,75,57,59,36,45,64,23,39,77,61,71,46,40,77,46,44,49,56,70,50,85,65
Arizona,67,76,57,87,64,86,59,62,94,23,47,79,67,76,47,40,90,61,91,59,80,65,52,75,54
Arkansas,60,46,41,76,54,52,43,50,71,48,32,68,54,59,49,36,82,36,45,36,46,61,40,62,40
California,71,71,59,72,61,66,57,55,90,24,53,77,60,76,46,45,71,52,49,53,69,60,50,70,60
Colorado,64,74,65,70,62,76,59,58,87,24,48,80,73,72,46,41,82,69,57,56,72,75,54,61,86
Connecticut,72,71,74,74,73,66,77,67,91,61,59,78,68,84,56,46,78,74,65,66,59,79,58,66,70
Delaware,72,68,58,77,68,66,55,100,100,25,54,67,63,69,44,44,80,100,58,60,53,65,50,87,49
District of Columbia,100,60,100,100,100,59,100,67,58,66,100,90,100,100,100,100,54,63,69,100,35,75,100,68,84
Florida,72,62,55,84,71,73,56,59,94,23,48,71,63,76,46,45,80,59,75,53,62,74,47,72,45
Georgia,66,43,43,74,59,47,47,51,80,24,41,64,62,64,43,45,71,40,52,46,37,63,42,59,38
Hawaii,55,87,39,72,58,79,34,46,77,20,47,63,52,61,39,46,63,44,39,56,100,72,42,81,43
Idaho,54,70,43,84,51,70,37,53,83,21,37,75,63,67,42,35,87,75,45,43,64,63,45,76,57
Illinois,70,67,65,74,64,66,65,56,85,39,51,74,63,68,49,47,74,66,56,54,56,68,48,69,59
Indiana,66,54,47,83,54,61,49,55,78,37,37,70,60,64,44,39,75,53,56,43,49,66,46,54,47
Iowa,67,63,54,76,56,68,59,60,80,92,39,67,69,66,47,37,85,64,56,51,65,67,46,67,52
Kansas,57,54,45,73,55,54,42,50,64,27,39,70,59,55,42,38,66,48,45,41,53,70,42,50,43
Kentucky,64,49,42,81,55,53,49,50,76,26,36,68,61,62,46,37,78,46,59,45,44,70,41,67,44
Louisiana,62,40,37,75,55,38,44,45,65,25,36,65,50,56,42,39,66,32,46,36,28,60,35,55,31
Maine,68,92,75,85,71,100,64,69,91,35,53,80,81,92,55,43,88,99,67,70,93,85,56,78,86
Maryland,71,55,73,74,74,63,70,68,90,46,57,75,67,73,46,54,75,62,55,63,52,63,55,52,68
Massachusetts,77,75,80,74,77,76,77,70,97,42,62,84,80,90,58,47,76,75,60,71,64,71,59,67,87
Michigan,73,65,59,88,64,72,63,60,81,56,46,75,68,66,47,44,84,64,70,51,57,73,47,65,52
Minnesota,71,80,72,81,61,82,74,62,89,25,49,76,73,73,46,40,82,72,79,66,82,76,53,82,71
Mississippi,58,37,28,77,52,41,32,43,64,100,34,57,47,50,40,37,67,29,48,37,30,60,34,54,25
Missouri,64,54,50,82,59,55,53,54,74,44,41,72,64,66,48,39,78,56,52,48,49,73,46,62,50
Montana,60,92,56,83,56,82,49,61,79,27,37,72,79,80,46,39,100,83,80,59,75,100,53,100,71
Nebraska,66,56,49,76,59,55,52,54,77,26,40,65,57,66,45,39,72,58,55,48,54,69,43,61,50
Nevada,66,62,51,82,55,60,53,51,77,22,42,69,64,69,45,40,80,51,71,45,47,66,47,74,46
New Hampshire,70,75,72,86,72,85,65,72,92,31,49,85,81,86,57,43,93,89,100,65,79,76,57,74,78
New Jersey,79,64,69,79,77,65,76,65,98,42,65,81,63,85,51,46,84,62,61,62,53,71,53,71,57
New Mexico,62,89,50,83,66,88,43,57,88,20,42,69,68,73,42,35,79,70,64,50,93,66,45,73,56
New York,78,61,72,73,74,60,74,59,85,41,66,74,65,80,56,48,71,55,52,61,47,68,54,65,61
North Carolina,63,53,49,74,61,57,53,53,77,38,40,69,63,64,43,42,76,48,61,49,48,68,45,59,42
North Dakota,61,51,45,76,49,59,46,53,78,22,36,81,70,56,45,34,82,48,45,51,44,85,42,68,54
Ohio,70,62,55,85,58,68,65,60,83,46,41,77,62,67,47,41,82,58,60,47,55,78,47,66,53
Oklahoma,59,48,39,78,54,50,39,50,67,45,36,67,54,52,45,38,80,44,71,34,43,61,40,56,40
Oregon,68,100,74,76,63,90,66,59,86,26,46,87,74,84,50,42,83,84,57,67,93,77,60,80,85
Pennsylvania,78,68,72,83,68,71,72,75,95,30,53,85,70,81,54,43,88,67,75,63,60,85,50,71,61
Rhode Island,77,69,69,79,75,76,71,66,90,29,55,82,66,76,48,45,79,70,57,55,65,76,55,93,73
South Carolina,61,46,44,79,58,55,54,52,75,35,38,58,57,54,41,41,74,39,54,44,42,66,44,55,39
South Dakota,63,54,49,77,52,53,45,54,79,21,32,65,60,61,40,34,79,55,50,41,55,67,40,85,52
Tennessee,63,54,45,78,59,52,55,52,74,50,38,70,61,62,46,38,75,40,51,40,43,70,43,61,43
Texas,61,48,40,70,56,44,44,49,81,22,41,62,58,62,43,37,69,37,46,40,38,55,38,54,37
Utah,56,51,47,70,51,55,46,51,79,40,34,73,64,68,39,32,78,45,38,37,44,53,46,51,56
Vermont,68,96,77,77,73,89,65,68,95,32,57,100,86,100,65,48,86,87,64,70,88,60,65,69,100
Virginia,67,54,67,76,70,59,69,62,85,26,53,76,68,67,46,48,81,55,54,61,43,68,52,56,59
Washington,68,93,72,73,66,90,63,63,93,28,49,84,72,86,51,44,80,77,54,65,95,73,58,80,88
West Virginia,66,55,48,97,60,56,62,58,81,24,37,75,64,72,46,37,97,38,58,44,55,85,47,79,44
Wisconsin,68,77,62,77,57,78,66,62,81,28,41,74,61,61,43,39,81,70,68,53,76,76,44,74,59
Wyoming,53,67,38,83,52,77,49,50,58,23,39,72,69,58,42,35,78,56,51,41,70,67,53,63,58
